File1,File2,gt,pred
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep2_RGB_GH1Test2_14dat_AMARE_Control_Angle_180_2022-02-10_09-49-01-347_Visible.jpg',)",70.0,99.57579040527344
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-46-32-237_Visible.jpg',)",70.0,97.20700073242188
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Angle_60_2022-02-10_09-42-22-413_Visible.jpg',)",70.0,84.26283264160156
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Angle_120_2022-02-10_09-42-34-390_Visible.jpg',)",70.0,93.58151245117188
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep4_RGB_GH1Test2_14dat_AMARE_Control_Angle_60_2022-02-10_09-48-37-220_Visible.jpg',)",70.0,71.82135772705078
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep4_RGB_GH1Test2_14dat_AMARE_Control_Angle_240_2022-02-10_09-49-13-495_Visible.jpg',)",70.0,69.95453643798828
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep1_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-42-07-470_Visible.jpg',)",75.0,98.67459106445312
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep1_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-46-32-237_Visible.jpg',)",75.0,98.68797302246094
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep4_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-46-32-237_Visible.jpg',)",75.0,98.70295715332031
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep2_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-48-22-432_Visible.jpg',)",70.0,97.14105987548828
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep4_RGB_GH1Test2_14dat_AMARE_Control_Angle_0_2022-02-10_09-48-25-306_Visible.jpg',)",75.0,90.6216812133789
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep4_RGB_GH1Test2_14dat_AMARE_Control_Angle_180_2022-02-10_09-47-11-266_Visible.jpg',)",75.0,98.73579406738281
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Angle_120_2022-02-10_09-46-59-176_Visible.jpg',)",75.0,99.6850814819336
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep4_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-46-32-237_Visible.jpg',)",70.0,99.28617858886719
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep1_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-42-07-470_Visible.jpg',)",70.0,98.24620819091797
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-42-07-470_Visible.jpg',)",70.0,99.24075317382812
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep1_RGB_GH1Test2_14dat_AMARE_Control_Angle_180_2022-02-10_09-44-35-841_Visible.jpg',)",70.0,87.81143188476562
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Angle_60_2022-02-10_09-46-47-099_Visible.jpg',)",70.0,98.6136474609375
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep4_RGB_GH1Test2_14dat_AMARE_Control_Angle_0_2022-02-10_09-46-35-148_Visible.jpg',)",70.0,95.25284576416016
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep1_RGB_GH1Test2_14dat_AMARE_Control_Angle_120_2022-02-10_09-42-34-390_Visible.jpg',)",75.0,99.2589111328125
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Bottom_Angle_180_2022-02-10_09-21-36-981_Visible.jpg',)","('rep1_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-43-57-062_Visible.jpg',)",70.0,83.45994567871094
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep4_RGB_GH1Test2_14dat_AMARE_Control_Angle_0_2022-02-10_09-42-10-411_Visible.jpg',)",100.0,99.23619079589844
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-43-57-062_Visible.jpg',)",100.0,99.99754333496094
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep2_RGB_GH1Test2_14dat_AMARE_Control_Angle_240_2022-02-10_09-49-13-495_Visible.jpg',)",100.0,99.99529266357422
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Angle_120_2022-02-10_09-44-23-954_Visible.jpg',)",100.0,99.95829772949219
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Angle_60_2022-02-10_09-42-22-413_Visible.jpg',)",100.0,99.66143798828125
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep1_RGB_GH1Test2_14dat_AMARE_Control_Angle_0_2022-02-10_09-43-59-975_Visible.jpg',)",100.0,99.97599792480469
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-48-22-432_Visible.jpg',)",100.0,99.99677276611328
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-46-32-237_Visible.jpg',)",100.0,99.93584442138672
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep1_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-43-57-062_Visible.jpg',)",100.0,99.89202117919922
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep1_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-43-57-062_Visible.jpg',)",100.0,99.87699127197266
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep2_RGB_GH1Test2_14dat_AMARE_Control_Angle_180_2022-02-10_09-47-11-266_Visible.jpg',)",100.0,99.82939147949219
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep2_RGB_GH1Test2_14dat_AMARE_Control_Angle_0_2022-02-10_09-48-25-306_Visible.jpg',)",100.0,99.96807861328125
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep1_RGB_GH1Test2_14dat_AMARE_Control_Angle_240_2022-02-10_09-44-47-763_Visible.jpg',)",100.0,99.93550109863281
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep4_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-42-07-470_Visible.jpg',)",100.0,98.2832260131836
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep2_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-46-32-237_Visible.jpg',)",100.0,99.93048095703125
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-46-32-237_Visible.jpg',)",100.0,99.92389678955078
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Angle_60_2022-02-10_09-46-47-099_Visible.jpg',)",100.0,99.94690704345703
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep2_RGB_GH1Test2_14dat_AMARE_Control_Angle_180_2022-02-10_09-42-46-362_Visible.jpg',)",100.0,99.95851135253906
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Angle_240_2022-02-10_09-49-13-495_Visible.jpg',)",100.0,99.98788452148438
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Angle_0_2022-02-10_09-43-59-975_Visible.jpg',)",100.0,99.95916748046875
"('rep1_RGB_GH1Test2_14dat_AMARE_Atrazine_Top_Angle_180_2022-02-10_09-19-28-714_Visible.jpg',)","('rep4_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-48-22-432_Visible.jpg',)",100.0,99.64326477050781
"('rep1_RGB_GH1Test2_14dat_AMARE_Butafenacil_Bottom_Top_0_2022-02-10_09-38-51-378_Visible.jpg',)","('rep1_RGB_GH1Test2_14dat_AMARE_Control_Angle_120_2022-02-10_09-42-34-390_Visible.jpg',)",100.0,99.97268676757812
"('rep1_RGB_GH1Test2_14dat_AMARE_Butafenacil_Bottom_Top_0_2022-02-10_09-38-51-378_Visible.jpg',)","('rep2_RGB_GH1Test2_14dat_AMARE_Control_Angle_0_2022-02-10_09-46-35-148_Visible.jpg',)",100.0,99.91514587402344
"('rep1_RGB_GH1Test2_14dat_AMARE_Butafenacil_Bottom_Top_0_2022-02-10_09-38-51-378_Visible.jpg',)","('rep4_RGB_GH1Test2_14dat_AMARE_Control_Angle_120_2022-02-10_09-48-49-271_Visible.jpg',)",100.0,99.16255950927734
"('rep1_RGB_GH1Test2_14dat_AMARE_Butafenacil_Bottom_Top_0_2022-02-10_09-38-51-378_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Angle_60_2022-02-10_09-48-37-220_Visible.jpg',)",100.0,99.9544677734375
"('rep1_RGB_GH1Test2_14dat_AMARE_Butafenacil_Bottom_Top_0_2022-02-10_09-38-51-378_Visible.jpg',)","('rep2_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-43-57-062_Visible.jpg',)",100.0,99.9449462890625
"('rep1_RGB_GH1Test2_14dat_AMARE_Butafenacil_Bottom_Top_0_2022-02-10_09-38-51-378_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-43-57-062_Visible.jpg',)",100.0,99.99213409423828
"('rep1_RGB_GH1Test2_14dat_AMARE_Butafenacil_Bottom_Top_0_2022-02-10_09-38-51-378_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-46-32-237_Visible.jpg',)",100.0,99.831298828125
"('rep1_RGB_GH1Test2_14dat_AMARE_Butafenacil_Bottom_Top_0_2022-02-10_09-38-51-378_Visible.jpg',)","('rep1_RGB_GH1Test2_14dat_AMARE_Control_Angle_60_2022-02-10_09-42-22-413_Visible.jpg',)",100.0,99.92057800292969
"('rep1_RGB_GH1Test2_14dat_AMARE_Butafenacil_Bottom_Top_0_2022-02-10_09-38-51-378_Visible.jpg',)","('rep1_RGB_GH1Test2_14dat_AMARE_Control_Angle_120_2022-02-10_09-48-49-271_Visible.jpg',)",100.0,99.93397521972656
"('rep1_RGB_GH1Test2_14dat_AMARE_Butafenacil_Bottom_Top_0_2022-02-10_09-38-51-378_Visible.jpg',)","('rep3_RGB_GH1Test2_14dat_AMARE_Control_Angle_300_2022-02-10_09-43-10-215_Visible.jpg',)",100.0,99.95772552490234
"('rep1_RGB_GH1Test2_14dat_AMARE_Butafenacil_Bottom_Top_0_2022-02-10_09-38-51-378_Visible.jpg',)","('rep2_RGB_GH1Test2_14dat_AMARE_Control_Angle_120_2022-02-10_09-42-34-390_Visible.jpg',)",100.0,99.96235656738281
"('rep1_RGB_GH1Test2_14dat_AMARE_Butafenacil_Bottom_Top_0_2022-02-10_09-38-51-378_Visible.jpg',)","('rep1_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-42-07-470_Visible.jpg',)",100.0,99.96016693115234
"('rep1_RGB_GH1Test2_14dat_AMARE_Butafenacil_Bottom_Top_0_2022-02-10_09-38-51-378_Visible.jpg',)","('rep4_RGB_GH1Test2_14dat_AMARE_Control_Top_0_2022-02-10_09-48-22-432_Visible.jpg',)",100.0,99.48313903808594
